Estacao;omega;kappa;phi;X;Y;Z;a0;b0;b1;c0
0;0.00E+00;0.00E+00;0;-1;-1;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
1;0.00E+00;0.00E+00;0;1;1;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
2;0.00E+00;0.00E+00;2.62E-01;1;1;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
3;0.00E+00;0.00E+00;5.24E-01;1;1;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
4;0.00E+00;0.00E+00;7.85E-01;1;1;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
5;0.00E+00;0.00E+00;1.05E+00;1;1;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
6;0.00E+00;0.00E+00;1.31E+00;1;1;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
7;0.00E+00;0.00E+00;1.57E+00;1;1;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
;;;;;;;;;;
;;;;;;;;;;
