Estacao;omega;kappa;phi;X;Y;Z;a0;b0;b1;c0
0;1.75E-05;1.75E-05;0;6;2.5;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
1;1.75E-05;1.75E-05;1.570796327;0;2.5;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
2;1.75E-05;1.75E-05;3.141592654;-6;2.5;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
3;1.75E-05;1.75E-05;4.71238898;6;-2.5;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
4;1.75E-05;1.75E-05;0.785398163;0;-2.5;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
5;1.75E-05;1.75E-05;2.35619449;-6;-2.5;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
6;1.75E-05;1.75E-05;0;0;0;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
7;1.75E-05;1.75E-05;0;6;2.5;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
8;1.75E-05;1.75E-05;2.35619449;-6;-2.5;0.5;0.00E+00;0.00E+00;0.00E+00;0.00E+00
9;1.75E-05;1.75E-05;0;6;2.5;0;0.00E+00;0.00E+00;0.00E+00;0.00E+00
10;1.75E-05;1.75E-05;2.35619449;-6;-2.5;1;0.00E+00;0.00E+00;0.00E+00;0.00E+00
