Name;Nx;Ny;Nz;d
1;0;1;-4.37E-08;-5.00E+00
2;0;1;-4.37E-08;5.00E+00
3;0;0;1;-1.50E+00
4;0;0;1;1.50E+00
5;1;-4.37E-08;-4.37E-08;-6.00E+00
6;1;-4.37E-08;-4.37E-08;6.00E+00
7;-6.18E-08;-0.707107;0.707107;-3.54E+00
8;0;0.707107;0.707107;-3.54E+00
9;-6.18E-08;-0.707107;0.707107;3.54E+00
10;0;0.707107;0.707107;3.54E+00
11;0.707107;-3.09E-08;0.707107;-4.24E+00
12;-0.707107;8.43E-09;0.707107;-4.24E+00
13;0.707107;-3.09E-08;0.707107;4.24E+00
14;-0.707107;8.43E-09;0.707107;4.24E+00
15;0.5;-0.5;0.707107;-5.207107
16;0.5;0.5;0.707107;-5.207107
17;-0.5;0.5;0.707107;-5.207107
18;-0.5;-0.5;0.707107;-5.207107
19;-0.5;-0.5;0.707107;5.207107
20;0.5;-0.5;0.707107;5.207107
21;0.5;0.5;0.707107;5.207107
22;-0.5;0.5;0.707107;5.207107
